# Acid Tests baseline - captured GB frames, 160x144 PNG.
# emulator: gameroy
# generated: Wed, 22 Jul 2026 22:44:38 +0000
# source: https://tomek.rekawek.eu/GBEmulatorShootout/
# name|status|frames|image
acid/which.gb (DMG)|INFO|0|acid/which.gb (DMG).png
mealybug-tearoom-tests/ppu/m3_lcdc_bg_en_change.gb (DMG)|FAIL|0|mealybug-tearoom-tests/ppu/m3_lcdc_bg_en_change.gb (DMG).png
mealybug-tearoom-tests/ppu/m3_lcdc_bg_map_change.gb (DMG)|PASS|0|mealybug-tearoom-tests/ppu/m3_lcdc_bg_map_change.gb (DMG).png
mealybug-tearoom-tests/ppu/m3_lcdc_obj_en_change.gb (DMG)|FAIL|0|mealybug-tearoom-tests/ppu/m3_lcdc_obj_en_change.gb (DMG).png
mealybug-tearoom-tests/ppu/m3_lcdc_obj_en_change_variant.gb (DMG)|FAIL|0|mealybug-tearoom-tests/ppu/m3_lcdc_obj_en_change_variant.gb (DMG).png
mealybug-tearoom-tests/ppu/m3_lcdc_obj_size_change.gb (DMG)|FAIL|0|mealybug-tearoom-tests/ppu/m3_lcdc_obj_size_change.gb (DMG).png
mealybug-tearoom-tests/ppu/m3_lcdc_obj_size_change_scx.gb (DMG)|FAIL|0|mealybug-tearoom-tests/ppu/m3_lcdc_obj_size_change_scx.gb (DMG).png
mealybug-tearoom-tests/ppu/m3_lcdc_tile_sel_change.gb (DMG)|PASS|0|mealybug-tearoom-tests/ppu/m3_lcdc_tile_sel_change.gb (DMG).png
mealybug-tearoom-tests/ppu/m3_lcdc_tile_sel_win_change.gb (DMG)|PASS|0|mealybug-tearoom-tests/ppu/m3_lcdc_tile_sel_win_change.gb (DMG).png
mealybug-tearoom-tests/ppu/m3_lcdc_win_en_change_multiple.gb (DMG)|FAIL|0|mealybug-tearoom-tests/ppu/m3_lcdc_win_en_change_multiple.gb (DMG).png
mealybug-tearoom-tests/ppu/m3_lcdc_win_en_change_multiple_wx.gb (DMG)|FAIL|0|mealybug-tearoom-tests/ppu/m3_lcdc_win_en_change_multiple_wx.gb (DMG).png
mealybug-tearoom-tests/ppu/m3_lcdc_win_map_change.gb (DMG)|PASS|0|mealybug-tearoom-tests/ppu/m3_lcdc_win_map_change.gb (DMG).png
mealybug-tearoom-tests/ppu/m3_obp0_change.gb (DMG)|PASS|0|mealybug-tearoom-tests/ppu/m3_obp0_change.gb (DMG).png
mealybug-tearoom-tests/ppu/m3_scx_high_5_bits.gb (DMG)|FAIL|0|mealybug-tearoom-tests/ppu/m3_scx_high_5_bits.gb (DMG).png
mealybug-tearoom-tests/ppu/m3_scx_low_3_bits.gb (DMG)|PASS|0|mealybug-tearoom-tests/ppu/m3_scx_low_3_bits.gb (DMG).png
mealybug-tearoom-tests/ppu/m3_scy_change.gb (DMG)|FAIL|0|mealybug-tearoom-tests/ppu/m3_scy_change.gb (DMG).png
mealybug-tearoom-tests/ppu/m3_window_timing.gb (DMG)|PASS|0|mealybug-tearoom-tests/ppu/m3_window_timing.gb (DMG).png
mealybug-tearoom-tests/ppu/m3_window_timing_wx_0.gb (DMG)|PASS|0|mealybug-tearoom-tests/ppu/m3_window_timing_wx_0.gb (DMG).png
mealybug-tearoom-tests/ppu/m3_wx_4_change.gb (DMG)|PASS|0|mealybug-tearoom-tests/ppu/m3_wx_4_change.gb (DMG).png
